Date,Open,High,Low,Close
04/23/2024,"5,028.85","5,076.12","5,027.96","5,070.55"
04/22/2024,"4,987.33","5,038.84","4,969.40","5,010.60"
04/19/2024,"5,005.44","5,019.02","4,953.56","4,967.23"
04/18/2024,"5,031.52","5,056.66","5,001.89","5,011.12"
04/17/2024,"5,068.97","5,077.96","5,007.25","5,022.21"
04/16/2024,"5,064.59","5,079.84","5,039.83","5,051.41"
04/15/2024,"5,149.67","5,168.43","5,052.47","5,061.82"
04/12/2024,"5,171.51","5,175.03","5,107.94","5,123.41"
04/11/2024,"5,172.95","5,211.78","5,138.77","5,199.06"
04/10/2024,"5,167.88","5,178.43","5,138.70","5,160.64"
04/09/2024,"5,217.03","5,224.81","5,160.78","5,209.91"
04/08/2024,"5,211.37","5,219.57","5,197.35","5,202.39"
04/05/2024,"5,158.95","5,222.18","5,157.21","5,204.34"
04/04/2024,"5,244.05","5,256.59","5,146.06","5,147.21"
04/03/2024,"5,194.37","5,228.75","5,194.37","5,211.49"
04/02/2024,"5,204.29","5,208.34","5,184.05","5,205.81"
04/01/2024,"5,257.97","5,263.95","5,229.20","5,243.77"
03/28/2024,"5,248.03","5,264.85","5,245.82","5,254.35"
03/27/2024,"5,226.31","5,249.26","5,213.92","5,248.49"
03/26/2024,"5,228.85","5,235.16","5,203.42","5,203.58"
03/25/2024,"5,219.52","5,229.09","5,216.09","5,218.19"
03/22/2024,"5,242.48","5,246.09","5,229.87","5,234.18"
03/21/2024,"5,253.43","5,261.10","5,240.66","5,241.53"
03/20/2024,"5,181.69","5,226.19","5,171.55","5,224.62"
03/19/2024,"5,139.09","5,180.31","5,131.59","5,178.51"
03/18/2024,"5,154.77","5,175.60","5,145.47","5,149.42"
03/15/2024,"5,123.31","5,136.86","5,104.35","5,117.09"
03/14/2024,"5,175.14","5,176.85","5,123.30","5,150.48"
03/13/2024,"5,173.49","5,179.14","5,151.88","5,165.31"
03/12/2024,"5,134.30","5,179.87","5,114.48","5,175.27"
03/11/2024,"5,111.96","5,124.66","5,091.14","5,117.94"
03/08/2024,"5,164.46","5,189.26","5,117.50","5,123.69"
03/07/2024,"5,132.38","5,165.62","5,128.21","5,157.36"
03/06/2024,"5,108.03","5,127.97","5,092.22","5,104.76"
03/05/2024,"5,110.52","5,114.54","5,056.82","5,078.65"
03/04/2024,"5,130.99","5,149.67","5,127.18","5,130.95"
03/01/2024,"5,098.51","5,140.33","5,094.16","5,137.08"
02/29/2024,"5,085.36","5,104.99","5,061.89","5,096.27"
02/28/2024,"5,067.20","5,077.37","5,058.35","5,069.76"
02/27/2024,"5,074.60","5,080.69","5,057.29","5,078.18"
02/26/2024,"5,093.00","5,097.66","5,068.91","5,069.53"
02/23/2024,"5,100.92","5,111.06","5,081.46","5,088.80"
02/22/2024,"5,038.83","5,094.39","5,038.83","5,087.03"
02/21/2024,"4,963.03","4,983.21","4,946.00","4,981.80"
02/20/2024,"4,989.32","4,993.71","4,955.02","4,975.51"
02/16/2024,"5,031.13","5,038.70","4,999.52","5,005.57"
02/15/2024,"5,003.14","5,032.72","4,999.44","5,029.73"
02/14/2024,"4,976.44","5,002.52","4,956.45","5,000.62"
02/13/2024,"4,967.94","4,971.30","4,920.31","4,953.17"
02/12/2024,"5,026.83","5,048.39","5,016.83","5,021.84"
02/09/2024,"5,004.17","5,030.06","5,000.34","5,026.61"
02/08/2024,"4,995.16","5,000.40","4,987.09","4,997.91"
02/07/2024,"4,973.05","4,999.89","4,969.05","4,995.06"
02/06/2024,"4,950.16","4,957.77","4,934.88","4,954.23"
02/05/2024,"4,957.19","4,957.19","4,918.09","4,942.81"
02/02/2024,"4,916.06","4,975.29","4,907.99","4,958.61"
02/01/2024,"4,861.11","4,906.97","4,853.52","4,906.19"
01/31/2024,"4,899.19","4,906.75","4,845.15","4,845.65"
01/30/2024,"4,925.89","4,931.09","4,916.27","4,924.97"
01/29/2024,"4,892.95","4,929.31","4,887.40","4,927.93"
01/26/2024,"4,888.91","4,906.69","4,881.47","4,890.97"
01/25/2024,"4,886.66","4,898.15","4,869.34","4,894.16"
01/24/2024,"4,888.56","4,903.68","4,865.94","4,868.55"
01/23/2024,"4,856.80","4,866.48","4,844.37","4,864.60"
01/22/2024,"4,853.42","4,868.41","4,844.05","4,850.43"
01/19/2024,"4,796.28","4,842.07","4,785.87","4,839.81"
01/18/2024,"4,760.10","4,785.79","4,740.57","4,780.94"
01/17/2024,"4,739.13","4,744.23","4,714.82","4,739.21"
01/16/2024,"4,772.35","4,782.34","4,747.12","4,765.98"
01/12/2024,"4,791.18","4,802.40","4,768.98","4,783.83"
01/11/2024,"4,792.13","4,798.50","4,739.58","4,780.24"
01/10/2024,"4,759.94","4,790.80","4,756.20","4,783.45"
01/09/2024,"4,741.93","4,765.47","4,730.35","4,756.50"
01/08/2024,"4,703.70","4,764.54","4,699.82","4,763.54"
01/05/2024,"4,690.57","4,721.49","4,682.11","4,697.24"
01/04/2024,"4,697.42","4,726.78","4,687.53","4,688.68"
01/03/2024,"4,725.07","4,729.29","4,699.71","4,704.81"
01/02/2024,"4,745.20","4,754.33","4,722.67","4,742.83"
12/29/2023,"4,782.88","4,788.43","4,751.99","4,769.83"
12/28/2023,"4,786.44","4,793.30","4,780.98","4,783.35"
12/27/2023,"4,773.45","4,785.39","4,768.90","4,781.58"
12/26/2023,"4,758.86","4,784.72","4,758.45","4,774.75"
12/22/2023,"4,753.92","4,772.94","4,736.77","4,754.63"
12/21/2023,"4,724.29","4,748.71","4,708.35","4,746.75"
12/20/2023,"4,764.73","4,778.01","4,697.82","4,698.35"
12/19/2023,"4,743.72","4,768.69","4,743.72","4,768.37"
12/18/2023,"4,725.58","4,749.52","4,725.58","4,740.56"
12/15/2023,"4,714.23","4,725.53","4,704.69","4,719.19"
12/14/2023,"4,721.04","4,738.57","4,694.34","4,719.55"
12/13/2023,"4,646.20","4,709.69","4,643.23","4,707.09"
12/12/2023,"4,618.30","4,643.93","4,608.09","4,643.70"
12/11/2023,"4,593.39","4,623.71","4,593.39","4,622.44"
12/08/2023,"4,576.20","4,609.23","4,574.06","4,604.37"
12/07/2023,"4,568.84","4,590.92","4,565.22","4,585.59"
12/06/2023,"4,586.23","4,590.74","4,546.50","4,549.34"
12/05/2023,"4,557.25","4,578.56","4,551.68","4,567.18"
12/04/2023,"4,564.37","4,572.37","4,546.72","4,569.78"
12/01/2023,"4,559.43","4,599.39","4,554.71","4,594.63"
11/30/2023,"4,554.87","4,569.89","4,537.24","4,567.80"
11/29/2023,"4,571.84","4,587.64","4,547.15","4,550.58"
11/28/2023,"4,545.55","4,568.14","4,540.51","4,554.89"
11/27/2023,"4,554.86","4,560.52","4,546.32","4,550.43"
11/24/2023,"4,555.84","4,560.31","4,552.80","4,559.34"
11/22/2023,"4,553.04","4,568.43","4,545.05","4,556.62"
11/21/2023,"4,538.77","4,542.14","4,525.51","4,538.19"
11/20/2023,"4,511.70","4,557.11","4,510.36","4,547.38"
11/17/2023,"4,509.55","4,520.12","4,499.66","4,514.02"
11/16/2023,"4,497.08","4,511.99","4,487.83","4,508.24"
11/15/2023,"4,505.30","4,521.17","4,495.31","4,502.88"
11/14/2023,"4,458.97","4,508.67","4,458.97","4,495.70"
11/13/2023,"4,406.66","4,421.76","4,393.82","4,411.55"
11/10/2023,"4,364.15","4,418.03","4,353.34","4,415.24"
11/09/2023,"4,391.41","4,393.40","4,343.94","4,347.35"
11/08/2023,"4,384.37","4,391.20","4,359.76","4,382.78"
11/07/2023,"4,366.21","4,386.26","4,355.41","4,378.38"
11/06/2023,"4,364.27","4,372.21","4,347.53","4,365.98"
11/03/2023,"4,334.23","4,373.62","4,334.23","4,358.34"
11/02/2023,"4,268.26","4,319.72","4,268.26","4,317.78"
11/01/2023,"4,201.27","4,245.64","4,197.74","4,237.86"
10/31/2023,"4,171.33","4,195.55","4,153.12","4,193.80"
10/30/2023,"4,139.39","4,177.47","4,132.94","4,166.82"
10/27/2023,"4,152.93","4,156.70","4,103.78","4,117.37"
10/26/2023,"4,175.99","4,183.60","4,127.90","4,137.23"
10/25/2023,"4,232.42","4,232.42","4,181.42","4,186.77"
10/24/2023,"4,235.79","4,259.38","4,219.43","4,247.68"
10/23/2023,"4,210.40","4,255.84","4,189.22","4,217.04"
10/20/2023,"4,273.85","4,276.56","4,223.03","4,224.16"
10/19/2023,"4,321.36","4,339.54","4,269.69","4,278.00"
10/18/2023,"4,357.35","4,364.20","4,303.84","4,314.60"
10/17/2023,"4,345.23","4,393.57","4,337.54","4,373.20"
10/16/2023,"4,342.37","4,383.33","4,342.37","4,373.63"
10/13/2023,"4,360.49","4,377.10","4,311.97","4,327.78"
10/12/2023,"4,380.94","4,385.85","4,325.43","4,349.61"
10/11/2023,"4,366.59","4,378.64","4,345.34","4,376.95"
10/10/2023,"4,339.75","4,385.46","4,339.64","4,358.24"
10/09/2023,"4,289.02","4,341.73","4,283.79","4,335.66"
10/06/2023,"4,234.79","4,324.10","4,219.55","4,308.50"
10/05/2023,"4,259.31","4,267.13","4,225.91","4,258.19"
10/04/2023,"4,233.83","4,268.50","4,220.48","4,263.75"
10/03/2023,"4,269.75","4,281.15","4,216.45","4,229.45"
10/02/2023,"4,284.52","4,300.58","4,260.21","4,288.39"
09/29/2023,"4,328.18","4,333.15","4,274.86","4,288.05"
09/28/2023,"4,269.65","4,317.27","4,264.38","4,299.70"
09/27/2023,"4,282.63","4,292.07","4,238.63","4,274.51"
09/26/2023,"4,312.88","4,313.01","4,265.98","4,273.53"
09/25/2023,"4,310.62","4,338.51","4,302.70","4,337.44"
09/22/2023,"4,341.74","4,357.40","4,316.49","4,320.06"
09/21/2023,"4,374.36","4,375.70","4,329.17","4,330.00"
09/20/2023,"4,452.81","4,461.03","4,401.38","4,402.20"
09/19/2023,"4,445.41","4,449.85","4,416.61","4,443.95"
09/18/2023,"4,445.13","4,466.36","4,442.11","4,453.53"
09/15/2023,"4,497.98","4,497.98","4,447.21","4,450.32"
09/14/2023,"4,487.78","4,511.99","4,478.69","4,505.10"
09/13/2023,"4,462.65","4,479.39","4,453.52","4,467.44"
09/12/2023,"4,473.27","4,487.11","4,456.83","4,461.90"
09/11/2023,"4,480.98","4,490.77","4,467.89","4,487.46"
09/08/2023,"4,451.30","4,473.53","4,448.38","4,457.49"
09/07/2023,"4,434.55","4,457.81","4,430.46","4,451.14"
09/06/2023,"4,490.35","4,490.35","4,442.38","4,465.48"
09/05/2023,"4,510.06","4,514.29","4,496.01","4,496.83"
09/01/2023,"4,530.85","4,541.25","4,501.35","4,515.77"
08/31/2023,"4,517.01","4,532.26","4,507.39","4,507.66"
08/30/2023,"4,500.34","4,521.65","4,493.59","4,514.87"
08/29/2023,"4,432.75","4,500.14","4,431.68","4,497.63"
08/28/2023,"4,426.03","4,439.56","4,414.98","4,433.31"
08/25/2023,"4,389.38","4,418.46","4,356.29","4,405.71"
08/24/2023,"4,455.16","4,458.30","4,375.55","4,376.31"
08/23/2023,"4,396.44","4,443.18","4,396.44","4,436.01"
08/22/2023,"4,415.33","4,418.59","4,382.77","4,387.55"
08/21/2023,"4,380.28","4,407.55","4,360.30","4,399.77"
08/18/2023,"4,344.88","4,381.82","4,335.31","4,369.71"
08/17/2023,"4,416.32","4,421.17","4,364.83","4,370.36"
08/16/2023,"4,433.79","4,449.95","4,403.55","4,404.33"
08/15/2023,"4,478.87","4,478.87","4,432.19","4,437.86"
08/14/2023,"4,458.13","4,490.33","4,453.44","4,489.72"
08/11/2023,"4,450.69","4,476.23","4,443.98","4,464.05"
08/10/2023,"4,487.16","4,527.37","4,457.92","4,468.83"
08/09/2023,"4,501.57","4,502.44","4,461.33","4,467.71"
08/08/2023,"4,498.03","4,503.31","4,464.39","4,499.38"
08/07/2023,"4,491.58","4,519.84","4,491.15","4,518.44"
08/04/2023,"4,513.96","4,540.34","4,474.55","4,478.03"
08/03/2023,"4,494.27","4,519.49","4,485.54","4,501.89"
08/02/2023,"4,550.93","4,550.93","4,505.75","4,513.39"
08/01/2023,"4,578.83","4,584.62","4,567.53","4,576.73"
07/31/2023,"4,584.82","4,594.22","4,573.14","4,588.96"
07/28/2023,"4,565.75","4,590.16","4,564.01","4,582.23"
07/27/2023,"4,598.26","4,607.07","4,528.56","4,537.41"
07/26/2023,"4,558.96","4,582.47","4,547.58","4,566.75"
07/25/2023,"4,555.19","4,580.62","4,552.42","4,567.46"
07/24/2023,"4,543.39","4,563.41","4,541.29","4,554.64"
07/21/2023,"4,550.16","4,555.00","4,535.79","4,536.34"
07/20/2023,"4,554.38","4,564.74","4,527.56","4,534.87"
07/19/2023,"4,563.87","4,578.43","4,557.48","4,565.72"
07/18/2023,"4,521.78","4,562.30","4,514.59","4,554.98"
07/17/2023,"4,508.86","4,532.85","4,504.90","4,522.79"
07/14/2023,"4,514.61","4,527.76","4,499.56","4,505.42"
07/13/2023,"4,491.50","4,517.38","4,489.36","4,510.04"
07/12/2023,"4,467.69","4,488.34","4,463.23","4,472.16"
